date,Temperature,GHR,Pyranometer,Temperature probe,Sun azimuth,Clearness index,Month,Hour,Power
201808200730,147,36,22.1,0.5,-0.144193973828451,0.205091862457141,-0.5,1,3.173641
201808200745,191,42,22.700001,1,-0.188492806786131,0.246281574160705,-0.5,1,4.02946
201808200800,244,45,23.5,0.2,-0.234755208454523,0.293356575709537,-0.5,6.12323399573677e-17,4.96414
201808200815,299,49,24.5,0.5,-0.283306350360762,0.337791094762826,-0.5,6.12323399573677e-17,5.887505
201808200830,356,52,25,0.7,-0.334488677856555,0.380530291176632,-0.5,6.12323399573677e-17,6.824206
201808200845,354,53,25.9,0,-0.388646131665346,0.360247245168544,-0.5,6.12323399573677e-17,7.025229
201808200900,455,62,26.299999,0,-0.446093010354006,0.443328936258986,-0.5,-1,8.401039
201808200915,512,71,25.9,1.2,-0.507057356700241,0.480141761607645,-0.5,-1,9.172569
201808200930,590,81,25.799999,1.7,-0.57158401356084,0.535116347009248,-0.5,-1,9.870202
201808200945,641,66,27,1.2,-0.639378095860866,0.5648536578958,-0.5,-1,10.49215
201808201000,702,65,27.200001,0,-0.709570362268407,0.603640932282203,-0.5,-1.83697019872103e-16,11.05596
201808201015,755,73,27.1,0,-0.780403443879213,0.636137402187911,-0.5,-1.83697019872103e-16,11.55153
201808201030,804,85,27.4,3.3,-0.848892485318932,0.666430724732454,-0.5,-1.83697019872103e-16,11.88632
201808201045,847,92,27.700001,2.5,-0.910623582994827,0.693359680919442,-0.5,-1.83697019872103e-16,12.43258
201808201100,888,95,27.299999,1.3,-0.959988201315998,0.720621935206528,-0.5,1,12.81615
201808201115,903,108,27.299999,0.3,-0.99115902011424,0.729153119781897,-0.5,1,12.81355
201808201130,927,108,28.1,4.2,-0.999756795519775,0.747566282172739,-0.5,1,13.17126
201808201145,966,107,27.700001,2.2,-0.984481831245427,0.780881078907621,-0.5,1,13.43065
201808201200,955,134,28.200001,1.6,-0.94765467569206,0.77670289066439,-0.5,3.06161699786838e-16,13.54935
201808201215,943,144,28.299999,2.6,-0.894265422443344,0.774517419755614,-0.5,3.06161699786838e-16,13.50951
201808201230,963,142,28.200001,2.1,-0.830221591010875,0.801802971163777,-0.5,3.06161699786838e-16,13.47325
201808201245,931,151,28.700001,1,-0.760841708869039,0.788876557089181,-0.5,3.06161699786838e-16,13.4019
201808201300,960,141,29,2.9,-0.690117070742899,0.831190571713687,-0.5,-1,13.36564
201808201315,968,132,28.799999,1.8,-0.620641333598844,0.859999318775559,-0.5,-1,13.2533
